accident_id,Country,Year,Month,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Population Density
ACC00001,USA,2024,October,Street,Rainy,372.8000736,1,58,Male,0.006436065,1,Moderate,1,2,Moderate,16,4,53.09653266,8332.596496,Distracted Driving,7,47514.88796,48014.12771,319.223863
ACC00002,Canada,2024,April,Main Road,Clear,128.4425419,2,67,Male,0.246764795,0,Good,0,0,Severe,13,1,57.22517333,8254.196078,Mechanical Failure,9,2426.242178,26047.09543,2610.721646
ACC00003,Canada,2024,June,Street,Windy,228.8028891,3,45,Female,0.208781961,0,Good,1,2,Severe,4,1,9.038384839,3876.421417,Distracted Driving,7,9007.240414,47525.51787,29.3111172
ACC00004,Russia,2024,April,Highway,Foggy,377.5349088,4,117,Male,0.180729542,1,Poor,2,0,Moderate,17,1,53.8410768,5574.112709,Distracted Driving,8,6647.982775,54252.91208,4397.910979
ACC00005,Germany,2024,January,Main Road,Foggy,113.7299862,1,106,Female,0.119979324,0,Good,2,0,Moderate,17,4,22.03073635,3017.083973,Weather,6,33068.73904,43990.49787,3535.163194
ACC00006,Brazil,2024,August,Main Road,Foggy,491.1516879,2,56,Male,0.114032632,1,Moderate,1,1,Moderate,6,2,38.07248148,4677.827655,Distracted Driving,0,35795.55379,10548.87096,1404.334702
ACC00007,India,2024,December,Street,Windy,238.8522395,2,30,Male,0.24934161,0,Poor,1,2,Moderate,3,2,41.34187847,3305.499066,Mechanical Failure,9,21932.58974,77936.08066,2826.229443
ACC00008,USA,2024,July,Main Road,Rainy,163.4732628,4,118,Female,0.091425488,1,Good,0,2,Severe,16,0,14.85854731,1018.706763,Speeding,5,17045.90276,28073.4926,3598.894086
ACC00009,Canada,2024,July,Main Road,Clear,162.4393886,2,40,Male,0.070327498,0,Moderate,2,2,Moderate,13,1,36.3862857,1079.846444,Weather,4,17489.64544,49278.24351,467.8755724
ACC00010,Germany,2024,August,Main Road,Clear,232.3801474,1,43,Male,0.187502809,1,Moderate,2,0,Moderate,12,4,42.13606971,4370.293573,Speeding,5,31397.42863,54312.44559,3121.544844
